Corporation,corporation_kn,corporation_id,ac,ac_kn,ac_no,Assembly,ward_id,ward_name,ward_name_kn,TOT_P,TOT_M,TOT_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,RO_Code,RO_Division,ARO_Code,ARO_ Sub Division,zone,zone_name,Reservation,parks,toilets,lakes,Top Concern,2nd Concern,3rd Concern
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,10,10 - Sunkadakatte,ಸುಂಕದಕಟ್ಟೆ,23123,12440,10683,1177,640,538,393,223,170,2,RO- Hegganahalli,8,ARO- Sunkadakatte,Zone1,Rajarajeshwarinagar,General (Women),0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,11,11 - Dodda Bidarakallu,ದೊಡ್ಡ ಬಿದರಕಲ್ಲು,25777,13763,12015,1543,800,743,1074,568,507,14,RO- Herohalli,41,ARO- Dodda Bidarakallu,Zone1,Rajarajeshwarinagar,General,1,0,1,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,12,12 - Andrahalli,ಅಂದ್ರಹಳ್ಳಿ,27694,14627,13066,3057,1565,1492,1748,894,853,14,RO- Herohalli,41,ARO- Dodda Bidarakallu,Zone1,Rajarajeshwarinagar,Scheduled Tribes,4,0,3,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,13,13 - Nada prabhu Kempegowda Nagara,ನಾಡ ಪ್ರಭು ಕೆಂಪೇಗೌಡ ನಗರ,27225,14293,12912,2169,1109,1060,711,370,342,14,RO- Herohalli,41,ARO- Dodda Bidarakallu,Zone1,Rajarajeshwarinagar,General,3,3,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,14,14 - Herohalli,ಹೆರೋಹಳ್ಳಿ,28413,15013,13419,2192,1099,1094,490,258,232,14,RO- Herohalli,42,ARO- Herohalli,Zone1,Rajarajeshwarinagar,"Backward Class ""A"" (Women)",1,1,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,15,15 - Byadarahalli,ಬ್ಯಾಡರಹಳ್ಳಿ,22784,12186,10598,1045,532,513,943,488,455,14,RO- Herohalli,42,ARO- Herohalli,Zone1,Rajarajeshwarinagar,"Backward Class ""A""",9,3,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,16,16 - Ullal,ಉಳ್ಳಾಲ,22549,11535,11014,3331,1662,1670,439,224,215,15,RO- Kengeri,45,ARO- Ullal,Zone1,Rajarajeshwarinagar,General,3,0,2,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,17,17 - Nagadevanahalli,ನಾಗದೇವನಹಳ್ಳಿ,23269,12102,11167,2569,1353,1216,324,172,152,15,RO- Kengeri,45,ARO- Ullal,Zone1,Rajarajeshwarinagar,General (Women),6,7,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,18,18 - Kengal Hanumanthaiah West,ಕೆಂಗಲ್ ಹನುಮಂತಯ್ಯ ಪಶ್ಚಿಮ,21223,10855,10368,1960,982,978,754,386,368,15,RO- Kengeri,43,ARO- Hemmigepura,Zone1,Rajarajeshwarinagar,General,7,3,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,19,19 - Shivanapalya,ಶಿವನಪಾಳ್ಯ,21903,11495,10408,2237,1156,1081,436,232,204,15,RO- Kengeri,44,ARO- Kengeri,Zone1,Rajarajeshwarinagar,"Backward Class ""A"" (Women)",3,1,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,20,20 - Kengeri Kote ward,ಕೆಂಗೇರಿ ಕೋಟೆ ವಾರ್ಡ್,19339,9841,9499,2048,968,1081,336,170,166,15,RO- Kengeri,43,ARO- Hemmigepura,Zone1,Rajarajeshwarinagar,"Backward Class ""A""",0,3,6,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,21,21 - Kengeri,ಕೆಂಗೇರಿ,21835,11253,10582,2478,1266,1212,371,210,161,15,RO- Kengeri,44,ARO- Kengeri,Zone1,Rajarajeshwarinagar,"Backward Class ""A"" (Women)",2,7,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,22,22 - Bangarappa Nagara,ಬಂಗಾರಪ್ಪ ನಗರ,28414,14846,13669,2140,1088,1052,836,430,406,11,RO- Rajarajeswari Nagara,35,ARO- Rajarajeswari Nagara,Zone1,Rajarajeshwarinagar,General,2,4,3,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,23,23 - Rajarajeshwari Nagara,ರಾಜರಾಜೇಶ್ವರಿ ನಗರ,26050,13348,12601,1457,758,700,652,342,310,11,RO- Rajarajeswari Nagara,35,ARO- Rajarajeswari Nagara,Zone1,Rajarajeshwarinagar,"Backward Class ""B"" (Women)",11,5,3,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,24,24 - Jnana Bharathi Ward,ಜ್ಞಾನ ಭಾರತಿ ವಾರ್ಡ್,20533,10816,9717,2181,1121,1060,434,240,194,11,RO- Rajarajeswari Nagara,34,ARO- Jnana Bharathi,Zone1,Rajarajeshwarinagar,General,4,3,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,25,25 - Vinayaka Layout,ವಿನಾಯಕ ಲೇಔಟ್,20170,10168,10002,1496,767,729,406,205,201,11,RO- Rajarajeswari Nagara,34,ARO- Jnana Bharathi,Zone1,Rajarajeshwarinagar,"Backward Class ""A"" (Women)",15,4,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,26,26 - Mallathahalli,ಮಲ್ಲತ್ತಹಳ್ಳಿ,21575,11199,10375,2488,1262,1226,754,403,351,11,RO- Rajarajeswari Nagara,34,ARO- Jnana Bharathi,Zone1,Rajarajeshwarinagar,"Backward Class ""A"" (Women)",4,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,27,27 - Srigandada Kaval,ಶ್ರೀಗಂಧದ ಕಾವಲ್,25652,13401,12251,2776,1410,1366,704,370,333,10,RO- Peenya,31,ARO- Kotigepalya,Zone1,Rajarajeshwarinagar,"Backward Class ""A""",2,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,28,28 - Kottegepalya,ಕೊಟ್ಟಿಗೆಪಾಳ್ಯ,22872,12165,10707,2906,1616,1291,612,337,275,10,RO- Peenya,31,ARO- Kotigepalya,Zone1,Rajarajeshwarinagar,General,2,5,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,29,29 - Chowdeshwari Nagar,ಚೌಡೇಶ್ವರಿ ನಗರ,24455,12850,11605,958,499,459,374,186,187,10,RO- Peenya,31,ARO- Kotigepalya,Zone1,Rajarajeshwarinagar,General,1,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,30,30 - Kempegowda Layout,ಕೆಂಪೇಗೌಡ ಬಡಾವಣೆ,20026,10434,9592,930,477,454,462,231,231,10,RO- Peenya,32,ARO- Laggere,Zone1,Rajarajeshwarinagar,General,0,0,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,31,31 - Freedom Fighter Ward,ಫ್ರೀಡಂ ಫೈಟರ್ ವಾರ್ಡ್,18985,9976,9008,995,514,481,413,218,195,10,RO- Peenya,32,ARO- Laggere,Zone1,Rajarajeshwarinagar,General,0,0,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,32,32 - Laggere,ಲಗ್ಗೆರೆ,20508,10714,9794,1763,897,866,498,269,229,10,RO- Peenya,32,ARO- Laggere,Zone1,Rajarajeshwarinagar,General,0,0,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,33,33 - Lakshmi Devi Nagar,ಲಕ್ಷ್ಮಿ ದೇವಿ ನಗರ,24599,12820,11779,5006,2541,2470,583,318,265,10,RO- Peenya,33,ARO- Peenya,Zone1,Rajarajeshwarinagar,Scheduled Caste,0,1,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,34,34 - Peenya,ಪೀಣ್ಯ,26003,13620,12383,4190,2140,2050,986,507,479,10,RO- Peenya,33,ARO- Peenya,Zone1,Rajarajeshwarinagar,Scheduled Caste (Women),7,4,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,154 - Rajarajeshwarinagar,35,35 - Goraguntepalya,ಗೋರಗುಂಟೆಪಾಳ್ಯ,21462,11354,10108,4874,2455,2420,823,440,383,10,RO- Peenya,33,ARO- Peenya,Zone1,Rajarajeshwarinagar,Scheduled Caste (Women),1,11,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,36,36 - Nalwadi Krishnaraja Wadiyar Ward,ನಾಲ್ವಡಿ ಕೃಷ್ಣರಾಜ ಒಡೆಯರ್ ವಾರ್ಡ್,28281,14630,13650,4501,2286,2215,503,251,251,5,RO- Mahalakshmi Layout,17,ARO- Nandhini Layout,Zone1,Rajarajeshwarinagar,Scheduled Caste,2,5,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,37,37 - Dr. Puneeth Rajkumar Ward,ಡಾ. ಪುನೀತ್ ರಾಜ್‌ಕುಮಾರ್ ವಾರ್ಡ್,25126,13173,11953,3421,1764,1657,440,218,222,5,RO- Mahalakshmi Layout,17,ARO- Nandhini Layout,Zone1,Rajarajeshwarinagar,General,6,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,38,38 - Nandini Layout,ನಂದಿನಿ ಲೇಔಟ್,19639,10166,9474,2206,1089,1117,371,189,182,5,RO- Mahalakshmi Layout,17,ARO- Nandhini Layout,Zone1,Rajarajeshwarinagar,"Backward Class ""A""",1,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,39,39 - Jai Maruthi Nagar,ಜೈ ಮಾರುತಿ ನಗರ,27166,13919,13247,1754,915,839,502,266,236,5,RO- Mahalakshmi Layout,16,ARO- Mahalakshmipuram,Zone1,Rajarajeshwarinagar,General,8,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,40,40 - Mahalakshmipuram,ಮಹಾಲಕ್ಷ್ಮಿಪುರಂ,28125,14610,13515,2802,1388,1414,316,152,165,5,RO- Mahalakshmi Layout,16,ARO- Mahalakshmipuram,Zone1,Rajarajeshwarinagar,General,11,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,41,41 - Nagapura,ನಾಗಪುರ,26591,13419,13172,1680,850,829,398,199,199,5,RO- Mahalakshmi Layout,16,ARO- Mahalakshmipuram,Zone1,Rajarajeshwarinagar,General (Women),12,5,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,42,42 - Raja Mayura Varma Ward,ರಾಜ ಮಯೂರ ವರ್ಮಾ ವಾರ್ಡ್,27523,14371,13152,896,454,441,279,148,131,5,RO- Mahalakshmi Layout,18,ARO- Shankar Mutt,Zone1,Rajarajeshwarinagar,General (Women),0,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,43,43 - Kethamaranahalli,ಕೇತಮಾರನಹಳ್ಳಿ,28154,14315,13839,1329,649,680,346,170,176,5,RO- Mahalakshmi Layout,18,ARO- Shankar Mutt,Zone1,Rajarajeshwarinagar,General (Women),9,9,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,44,44 - Shankar Mutt,ಶಂಕರ ಮಠ,28358,14578,13779,3191,1653,1538,428,213,215,5,RO- Mahalakshmi Layout,18,ARO- Shankar Mutt,Zone1,Rajarajeshwarinagar,"Backward Class ""A""",4,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,45,45 - Shakthi Ganapathi Nagara,ಶಕ್ತಿ ಗಣಪತಿ ನಗರ,20838,10695,10143,3350,1731,1618,263,135,128,5,RO- Mahalakshmi Layout,15,ARO- Kamalanagara,Zone1,Rajarajeshwarinagar,"Backward Class ""A"" (Women)",3,0,0,Electrical,Solid Waste (Garbage) Related,Forest
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,46,46 - Kamalanagara,ಕಮಲಾನಗರ,28196,14749,13447,3398,1730,1668,383,207,176,5,RO- Mahalakshmi Layout,15,ARO- Kamalanagara,Zone1,Rajarajeshwarinagar,General (Women),1,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್,156,156 - Mahalakshmi Layout,47,47 - Vrishabhavathi Nagar,ವೃಷಭಾವತಿ ನಗರ,28346,15273,13074,508,275,233,483,260,222,5,RO- Mahalakshmi Layout,15,ARO- Kamalanagara,Zone1,Rajarajeshwarinagar,General (Women),0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,48,48 - Mathikere,ಮತ್ತಿಕೆರೆ,26058,13520,12539,2930,1486,1444,548,274,274,6,RO- Malleshwaram,20,ARO- Mathikere,Zone2,Malleshwaram,"Backward Class ""A""",2,0,0,Electrical,Road Maintenance(Engg),Forest
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,49,49 - Aramane Nagara,ಅರಮನೆ ನಗರ,26145,13738,12407,2437,1247,1190,436,229,207,6,RO- Malleshwaram,20,ARO- Mathikere,Zone2,Malleshwaram,General,3,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,50,50 - Sadashiva Nagara,ಸದಾಶಿವ ನಗರ,19596,10143,9453,1777,925,853,483,249,234,6,RO- Malleshwaram,20,ARO- Mathikere,Zone2,Malleshwaram,General (Women),9,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,51,51 - Rajamahal,ರಾಜಮಹಲ್,24705,12375,12400,3479,1692,1787,329,173,156,6,RO- Malleshwaram,21,ARO- Rajamahal,Zone2,Malleshwaram,General,5,3,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,52,52 - Kodandarampura,ಕೋದಂಡರಾಮಪುರ,18962,9340,9552,822,430,391,149,74,76,6,RO- Malleshwaram,21,ARO- Rajamahal,Zone2,Malleshwaram,General (Women),2,3,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,53,53 - Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,21827,10665,11162,479,231,248,194,97,97,6,RO- Malleshwaram,19,ARO- Malleshwaram,Zone2,Malleshwaram,General (Women),5,10,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,54,54 - Subedarpalya,ಸುಬೇದಾರಪಾಳ್ಯ,24829,12821,12008,3319,1661,1658,447,226,221,6,RO- Malleshwaram,19,ARO- Malleshwaram,Zone2,Malleshwaram,General (Women),0,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,55,55 - Subramanyanagara,ಸುಬ್ರಹ್ಮಣ್ಯನಗರ,27312,13591,13721,978,471,507,286,148,138,6,RO- Malleshwaram,22,ARO- Subramanyanagara,Zone2,Malleshwaram,General,3,1,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,56,56 - Gayathri Nagara,ಗಾಯತ್ರಿ ನಗರ,26978,13816,13162,801,404,397,363,201,162,6,RO- Malleshwaram,22,ARO- Subramanyanagara,Zone2,Malleshwaram,General (Women),0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,157 - Malleshwaram,57,57 - Kuvempu Ward,ಕುವೆಂಪು ವಾರ್ಡ್,24283,12310,11973,695,362,332,165,93,72,6,RO- Malleshwaram,22,ARO- Subramanyanagara,Zone2,Malleshwaram,"Backward Class ""A""",1,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,58,58 - Dayanand Nagara,ದಯಾನಂದ ನಗರ,21165,10793,10372,7449,3733,3716,165,88,77,9,RO- Rajajinagara,28,ARO- Prakash Nagara,Zone2,Malleshwaram,Scheduled Caste (Women),1,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,59,59 - Bandi Reddy Circle Ward,ಬಂಡಿ ರೆಡ್ಡಿ ವೃತ್ತ ವಾರ್ಡ್,21286,10840,10446,3805,1894,1912,95,46,49,9,RO- Rajajinagara,28,ARO- Prakash Nagara,Zone2,Malleshwaram,Scheduled Caste,0,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,60,60 - Prakash Nagara,ಪ್ರಕಾಶ ನಗರ,19859,10133,9726,1588,798,790,138,71,68,9,RO- Rajajinagara,28,ARO- Prakash Nagara,Zone2,Malleshwaram,General (Women),2,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,61,61 - Da.Ra. Bendre Ward,ದ.ರಾ.ಬೇಂದ್ರೆ ವಾರ್ಡ್,20756,10743,10013,1397,705,692,170,88,81,9,RO- Rajajinagara,30,ARO- Rama Mandira,Zone2,Malleshwaram,"Backward Class ""B""",0,4,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,62,62 - Rama Mandira,ರಾಮ ಮಂದಿರ,22322,11241,11082,498,251,247,177,92,85,9,RO- Rajajinagara,30,ARO- Rama Mandira,Zone2,Malleshwaram,General (Women),6,4,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,63,63 - Rajajinagara,ರಾಜಾಜಿನಗರ,19632,9933,9700,600,301,299,174,89,85,9,RO- Rajajinagara,29,ARO- Rajajinagara,Zone2,Malleshwaram,General,7,9,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,64,64 - Shivanagara,ಶಿವನಗರ,20472,10929,9544,820,435,385,348,186,162,9,RO- Rajajinagara,29,ARO- Rajajinagara,Zone2,Malleshwaram,General,2,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,65,65 - Manjunath Nagara,ಮಂಜುನಾಥ್  ನಗರ,20584,10676,9907,1578,798,780,229,136,93,8,RO- Basaveshwara Nagara,27,ARO- Manjunath Nagara,Zone2,Malleshwaram,"Backward Class ""A""",0,1,0,Electrical,Road Maintenance(Engg),Forest
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,66,66 - Sane Guruvana Halli,ಸಾಣೆ ಗುರುವನ ಹಳ್ಳಿ,20561,10679,9882,1354,688,666,415,207,208,8,RO- Basaveshwara Nagara,27,ARO- Manjunath Nagara,Zone2,Malleshwaram,"Backward Class ""A""",1,2,0,Electrical,Solid Waste (Garbage) Related,Forest
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,67,67 - Basaveshwara Nagara,ಬಸವೇಶ್ವರ ನಗರ,20769,10382,10387,1052,534,518,259,123,136,8,RO- Basaveshwara Nagara,26,ARO- Basaveshwara Nagara,Zone2,Malleshwaram,General (Women),7,4,0,Electrical,Solid Waste (Garbage) Related,Forest
West,ಪಶ್ಚಿಮ,5,Rajajinagar,ರಾಜಾಜಿನಗರ,165,165 - Rajajinagar,68,68 - Kamakshipalya,ಕಾಮಾಕ್ಷಿಪಾಳ್ಯ,25024,13135,11889,2345,1207,1138,419,217,202,8,RO- Basaveshwara Nagara,26,ARO- Basaveshwara Nagara,Zone2,Malleshwaram,General,3,2,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,69,69 - Agrahara Dasarahalli,ಅಗ್ರಹಾರ ದಾಸರಹಳ್ಳಿ,24742,12806,11936,2959,1525,1434,552,281,271,4,RO- Govindraj Nagar,12,ARO- Agrahara Dasarahalli,Zone2,Malleshwaram,"Backward Class ""A"" (Women)",6,0,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,70,70 - Dr Rajkumar Ward,ಡಾ. ರಾಜ್‌ಕುಮಾರ್ ವಾರ್ಡ್,24106,12476,11630,2155,1117,1038,676,352,324,4,RO- Govindraj Nagar,12,ARO- Agrahara Dasarahalli,Zone2,Malleshwaram,General,3,0,0,Solid Waste (Garbage) Related,Electrical,Road Maintenance(Engg)
