Corporation,corporation_kn,corporation_id,ac,ac_kn,ac_no,Assembly,ward_id,ward_name,ward_name_kn,TOT_P,TOT_M,TOT_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,RO_Code,RO_Division,ARO_Code,ARO_ Sub Division,zone,zone_name,Reservation,parks,toilets,lakes,Top Concern,2nd Concern,3rd Concern
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,40,40 - Anjanapura,ಅಂಜನಾಪುರ,23865,12534,11331,2858,1472,1386,352,190,162,4,RO- Anjanapura,7,ARO- Anjanapura,Zone1,Jayanagar,General (Women),4,3,4,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,41,41 - Kothanur,ಕೊತ್ತನೂರು,23161,11793,11368,3165,1603,1562,489,243,245,5,RO- Beguru,12,ARO- Bheereshwara Nagara,Zone1,Jayanagar,Scheduled Caste,2,0,2,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,42,42 - RBI Layout,ಆರ್‌ಬಿಐ ಲೇಔಟ್,22569,11395,11174,275,141,135,216,103,113,5,RO- Beguru,12,ARO- Bheereshwara Nagara,Zone1,Jayanagar,General (Women),11,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,43,43 - Bheereshwara Nagar,ಭೀರೇಶ್ವರ ನಗರ,26950,14126,12824,1337,694,643,245,122,123,5,RO- Beguru,12,ARO- Bheereshwara Nagara,Zone1,Jayanagar,"Backward Class ""A"" (Women)",0,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,44,44 - Harinagar,ಹರಿನಗರ,21893,11291,10601,1509,771,738,217,109,108,4,RO- Anjanapura,8,ARO- Konanakunte,Zone1,Jayanagar,"Backward Class ""A""",0,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,45,45 - Konanakunte,ಕೋಣನಕುಂಟೆ,20525,10604,9921,1590,843,747,193,96,97,4,RO- Anjanapura,8,ARO- Konanakunte,Zone1,Jayanagar,"Backward Class ""A"" (Women)",1,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,46,46 - Yelachenahalli,ಯೆಲಚೇನಹಳ್ಳಿ,23953,12487,11466,1040,541,499,236,121,114,4,RO- Anjanapura,10,ARO- Yelachenahalli,Zone1,Jayanagar,"Backward Class ""A"" (Women)",0,0,3,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,47,47 - Chandranagara,ಚಂದ್ರನಗರ,22054,11650,10404,1783,915,868,190,101,88,4,RO- Anjanapura,10,ARO- Yelachenahalli,Zone1,Jayanagar,General,2,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,48,48 - Vasanthapura,ವಸಂತಪುರ,22830,11987,10843,2972,1544,1428,499,264,236,4,RO- Anjanapura,8,ARO- Konanakunte,Zone1,Jayanagar,General (Women),1,3,2,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,49,49 - Uttarahalli,ಉತ್ತರಹಳ್ಳಿ,25302,13208,12094,3474,1757,1717,601,304,297,4,RO- Anjanapura,9,ARO- Uttarahalli,Zone1,Jayanagar,Scheduled Caste (Women),1,1,2,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,50,50 - Sarvabhouma Nagar,ಸಾರ್ವಭೌಮ ನಗರ,25256,13049,12207,1254,624,629,572,310,262,4,RO- Anjanapura,9,ARO- Uttarahalli,Zone1,Jayanagar,General,1,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176,176 - Bangalore South,51,51 - Subramanyapura,ಸುಬ್ರಹ್ಮಣ್ಯಪುರ,27304,14134,13170,2715,1359,1356,433,231,202,4,RO- Anjanapura,9,ARO- Uttarahalli,Zone1,Jayanagar,General,6,2,4,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Yeshwanthapura,ಯಶವಂತಪುರ,153,153 - Yeshwanthapura,52,52 - Talagattapura,ತಲಘಟ್ಟಪುರ,23797,11887,10620,3135,1606,1529,401,212,189,4,RO- Anjanapura,7,ARO- Anjanapura,Zone1,Jayanagar,General (Women),2,2,10,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,53,53 - Jaraganahalli,ಜರಗನಹಳ್ಳಿ,22646,11794,10852,1000,521,479,380,183,197,6,RO- Arakere,17,ARO- Jaraganahalli,Zone2,Bommanahalli,General,0,2,1,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,54,54 - Kengal Hanumanthaiah South,ಕೆಂಗಲ್ ಹನುಮಂತಯ್ಯ ದಕ್ಷಿಣ,25484,13425,12058,1020,540,480,457,236,221,6,RO- Arakere,17,ARO- Jaraganahalli,Zone2,Bommanahalli,General (Women),0,0,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,55,55 - Puttenahalli,ಪುಟ್ಟೇನಹಳ್ಳಿ,21484,10981,10504,1148,561,587,480,245,235,6,RO- Arakere,17,ARO- Jaraganahalli,Zone2,Bommanahalli,General (Women),0,1,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,56,56 - Doresanipalya,ದೊರೆಸಾನಿಪಾಳ್ಯ,23059,11969,11090,445,218,227,107,55,52,6,RO- Arakere,15,ARO- Arakere,Zone2,Bommanahalli,General (Women),3,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,57,57 - Hulimavu,ಹುಳಿಮಾವು,19598,10294,9304,2213,1144,1071,441,216,225,6,RO- Arakere,15,ARO- Arakere,Zone2,Bommanahalli,General (Women),1,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,58,58 - Arakere,ಅರಕೆರೆ,18995,9900,9095,1407,729,678,356,185,171,6,RO- Arakere,15,ARO- Arakere,Zone2,Bommanahalli,General,4,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,59,59 - Vijaya Bank Layout,ವಿಜಯ ಬ್ಯಾಂಕ್ ಲೇಔಟ್,27787,14761,13025,2426,1259,1168,319,167,152,6,RO- Arakere,16,ARO- Bilekanahalli,Zone2,Bommanahalli,General (Women),6,1,2,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
